Contact Name,First Name,Last Name,Spouse First Name,Spouse Last Name,Greeting,Envelope Greeting,Mailing Street Address,Mailing City,Mailing State,Mailing Postal Code,Mailing Country,Status,Commitment Amount,Commitment Frequency,Newsletter,Commitment Received,Tags,Primary Email,Spouse Email,Primary Phone,Spouse Phone,Notes
"Doe, John and Jane (Smith)",John,Doe,Jane,Smith,John and Jane,John and Jane Doe,"1 Example Ave, Apt 6",Sample City,IL,60201,,Partner - Pray,50,Monthly,Both,No,"christmas-card, family",john@example.com,jane@example.com,(111) 222-3333,(444) 555-6666,John and Jane are test users
,,,,Can leave blank if same last name,Can leave blank and it will autofill,Can leave blank and it will autofill,,,,,,Cell Options: ,,Cell Options:,Cell Options:,,,,,,,
,,,,,,,,,,,,Never Contacted,,Weekly,None,,,,,,,
,,,,,,,,,,,,Ask in Future,,Fornightly,Physical,,,,,,,
,,,,,,,,,,,,Cultivate Relationship,,Monthly,Email,,,,,,,
,,,,,,,,,,,,Contact for Appointment,,Bi-Monthly,Both,,,,,,,
,,,,,,,,,,,,Appointment Scheduled,,Quarterly,,,,,,,,
,,,,,,,,,,,,Call for Decision,,Quad-Monthly,,,,,,,,
,,,,,,,,,,,,Partner - Financial,,Semi-Annual,,,,,,,,
,,,,,,,,,,,,Partner - Special,,Annual,,,,,,,,
,,,,,,,,,,,,Partner - Pray,,Biennial,,,,,,,,
,,,,,,,,,,,,Not Interested,,,,,,,,,,
,,,,,,,,,,,,Unresponsive,,,,,,,,,,
,,,,,,,,,,,,Never Ask,,,,,,,,,,
,,,,,,,,,,,,Research Abandoned,,,,,,,,,,
,,,,,,,,,,,,Expired Referral,,,,,,,,,,
